student_ID,date,daily_study_time,daily_submissions,avg_score
0088dc183f73c83f763e,2023-10-06,39.65,15,0.067
0088dc183f73c83f763e,2023-10-11,76.73,32,0.188
0088dc183f73c83f763e,2023-10-12,6.4,7,0.286
0088dc183f73c83f763e,2023-10-18,109.92,36,0.306
0088dc183f73c83f763e,2023-10-21,5.13,3,0.0
0088dc183f73c83f763e,2023-10-24,20.53,4,2.0
0088dc183f73c83f763e,2023-10-30,51.3,13,1.154
0088dc183f73c83f763e,2023-10-31,7.15,5,1.2
0088dc183f73c83f763e,2023-11-02,3.02,4,0.75
0088dc183f73c83f763e,2023-11-04,29.73,6,1.0
0088dc183f73c83f763e,2023-11-09,18.42,4,1.25
0088dc183f73c83f763e,2023-11-21,28.62,6,1.5
0088dc183f73c83f763e,2023-11-23,26.6,7,1.857
0088dc183f73c83f763e,2023-12-05,23.02,27,1.037
0088dc183f73c83f763e,2023-12-06,85.55,25,0.76
0088dc183f73c83f763e,2023-12-08,28.27,7,1.0
0088dc183f73c83f763e,2023-12-09,0.0,1,3.0
0088dc183f73c83f763e,2023-12-10,0.0,1,1.0
0088dc183f73c83f763e,2023-12-20,0.0,1,2.0
0088dc183f73c83f763e,2023-12-22,19.72,10,1.9
0088dc183f73c83f763e,2023-12-31,0.0,1,3.0
00cbf05221bb479e66c3,2023-09-22,81.77,41,0.098
00cbf05221bb479e66c3,2023-09-23,36.7,6,0.0
00cbf05221bb479e66c3,2023-09-24,4.17,5,0.0
00cbf05221bb479e66c3,2023-09-26,19.57,11,0.182
00cbf05221bb479e66c3,2023-09-27,2.28,4,0.5
00cbf05221bb479e66c3,2023-10-02,61.17,20,0.55
00cbf05221bb479e66c3,2023-10-03,30.72,17,0.471
00cbf05221bb479e66c3,2023-10-16,74.9,19,0.526
00cbf05221bb479e66c3,2023-10-17,0.0,1,3.0
00cbf05221bb479e66c3,2023-10-18,56.15,20,0.75
00cbf05221bb479e66c3,2023-10-20,4.53,4,0.75
00cbf05221bb479e66c3,2023-11-06,26.92,8,1.125
00cbf05221bb479e66c3,2023-11-19,14.77,9,1.667
00cbf05221bb479e66c3,2023-11-27,34.9,6,1.5
00cbf05221bb479e66c3,2023-12-01,71.98,22,0.636
00cbf05221bb479e66c3,2023-12-06,28.17,8,1.125
00cbf05221bb479e66c3,2023-12-08,65.97,13,1.0
00cbf05221bb479e66c3,2023-12-10,13.2,4,0.0
00cbf05221bb479e66c3,2023-12-11,85.82,17,0.529
00cbf05221bb479e66c3,2023-12-12,17.93,5,1.4
00df647ee4bf7173642f,2023-09-24,61.8,38,0.026
00df647ee4bf7173642f,2023-09-26,27.65,16,0.188
00df647ee4bf7173642f,2023-10-09,121.27,30,0.5
00df647ee4bf7173642f,2023-10-10,120.03,46,0.848
00df647ee4bf7173642f,2023-10-11,41.15,16,0.312
00df647ee4bf7173642f,2023-10-12,13.62,7,1.0
00df647ee4bf7173642f,2023-10-13,84.0,16,0.312
00df647ee4bf7173642f,2023-10-15,177.63,20,0.85
00df647ee4bf7173642f,2023-10-16,139.98,30,0.867
00df647ee4bf7173642f,2023-10-17,96.7,19,0.842
00df647ee4bf7173642f,2023-10-19,70.48,9,0.778
00df647ee4bf7173642f,2023-10-20,50.5,9,0.889
00df647ee4bf7173642f,2023-10-21,82.18,21,1.143
00df647ee4bf7173642f,2023-10-22,3.68,4,1.5
00df647ee4bf7173642f,2023-10-23,97.92,18,0.667
00df647ee4bf7173642f,2023-10-24,92.98,26,0.5
00df647ee4bf7173642f,2023-10-26,116.78,30,0.0
00df647ee4bf7173642f,2023-10-27,52.13,14,0.643
00df647ee4bf7173642f,2023-10-29,111.75,30,0.4
00df647ee4bf7173642f,2023-10-30,91.68,44,0.614
00df647ee4bf7173642f,2023-11-02,66.32,29,0.724
00df647ee4bf7173642f,2023-12-28,30.67,6,1.0
0107f72b66cbd1a0926d,2023-09-16,51.33,17,0.294
0107f72b66cbd1a0926d,2023-09-24,11.35,6,0.333
0107f72b66cbd1a0926d,2023-09-27,3.97,5,1.0
0107f72b66cbd1a0926d,2023-10-01,8.72,3,2.0
0107f72b66cbd1a0926d,2023-10-02,12.13,8,1.625
0107f72b66cbd1a0926d,2023-10-04,0.0,1,3.0
0107f72b66cbd1a0926d,2023-10-06,3.5,8,0.625
0107f72b66cbd1a0926d,2023-10-07,0.0,3,2.0
0107f72b66cbd1a0926d,2023-10-18,9.85,5,1.0
0107f72b66cbd1a0926d,2023-11-02,0.0,1,3.0
0107f72b66cbd1a0926d,2023-11-03,124.62,32,1.406
0107f72b66cbd1a0926d,2023-11-04,28.28,3,2.333
0107f72b66cbd1a0926d,2023-11-05,0.73,3,2.0
0107f72b66cbd1a0926d,2023-11-08,27.42,7,0.857
0107f72b66cbd1a0926d,2023-11-09,26.1,7,1.429
0107f72b66cbd1a0926d,2023-11-11,2.87,3,1.0
0107f72b66cbd1a0926d,2023-12-30,15.87,7,2.286
011d454f199c123d44ad,2023-10-16,0.0,1,1.0
011d454f199c123d44ad,2023-11-04,39.52,19,0.526
011d454f199c123d44ad,2023-11-15,0.0,2,0.0
011d454f199c123d44ad,2023-11-22,104.25,31,0.29
