student_ID,total_study_time,active_days,total_submissions,avg_score,avg_daily_study_time,avg_daily_submissions
8b6d1125760bd3939b6e,136.93,4,75,1.4,34.23,18.75
63eef37311aaac915a45,637.0,9,316,0.487,70.78,35.11
5d89810b20079366fcc2,54.97,6,62,1.629,9.16,10.33
47eeab842793b09300c3,275.93,20,152,0.842,13.8,7.6
a8eea517e36b20757b2e,365.52,20,207,0.628,18.28,10.35
e89cdaa3f159a0d3f55e,1645.78,29,633,0.537,56.75,21.83
e324cc9cb52a2b3cb9cb,726.27,18,262,0.466,40.35,14.56
98e10f84d94623f8b39e,719.35,8,256,0.438,89.92,32.0
3c89c7f1db26ae691db8,1114.82,30,386,0.56,37.16,12.87
9ea29e4a747ea4a7c70a,1011.15,27,278,0.766,37.45,10.3
e23ada44d3eac9b465d2,283.37,25,91,1.407,11.33,3.64
b79c2d9d8148403a3720,868.17,22,341,0.977,39.46,15.5
01d8aa21ef476b66c573,689.67,14,182,0.956,49.26,13.0
9417c1b4c24e428984bc,867.9,19,371,0.509,45.68,19.53
3d63ba961a5f3a60616a,288.58,15,107,1.168,19.24,7.13
57709f904b1cc9ec60b1,1016.9,35,200,0.925,29.05,5.71
8979427badebb9e2bd10,523.88,17,130,1.069,30.82,7.65
6e7d56f652020f046204,617.08,26,158,0.962,23.73,6.08
03aa0b20dd4af1888eef,946.8,37,253,0.822,25.59,6.84
1b25734414fcc7466153,1023.3,38,300,0.667,26.93,7.89
8777bd09f180d330b147,578.7,27,221,0.566,21.43,8.19
8b1fbc97391699e46cef,1542.53,34,434,0.578,45.37,12.76
dc83f9577ae72447a7b1,999.37,32,318,0.619,31.23,9.94
be503fccbf0ae5532639,555.63,14,161,0.72,39.69,11.5
cd6355bf939a47577f6d,1585.9,34,604,0.675,46.64,17.76
fb4411db1aac3cd2544b,432.67,18,138,0.899,24.04,7.67
f06c3ddb1a98713eeb32,903.68,18,268,0.608,50.2,14.89
bca2be7a89b9b36b45cc,574.07,30,194,1.521,19.14,6.47
f058870b1bc33e288e82,294.72,11,136,1.169,26.79,12.36
a1fa76b5d99a411d6649,453.03,24,140,1.171,18.88,5.83
79ea7a2f63285f2fe26b,453.05,15,148,1.574,30.2,9.87
54826f4abf592713d585,500.88,20,155,1.29,25.04,7.75
e716574233e87591ff19,893.28,22,265,0.562,40.6,12.05
